ID,title,Directed by ,Written by,Produced by ,Starring,Cinematography,Edited by ,Music by,Produced companies,distributed by,Running time, budget , box office , net profit/loss 
113,Jem and the Holograms,Jon M. Chu,,"Jason Blum, Jon M. Chu, Scooter Braun, Brian Goldner, Stephen Davis, Bennett Schneir","Aubrey Peeples, Stefanie Scott, Hayley Kiyoko, Aurora Perrineau, Ryan Guzman, Molly Ringwald, Juliette Lewis",Alice Brooks,"Jillian Moul, Michael Trent",Nathan Lanier,"Allspark Pictures, Blumhouse Productions, Chu Studios, SB Projects",Universal Pictures,118 minutes ," $50,00,000.00 "," $23,00,000.00 "," $-27,00,000.00 "
73,Moshi Monsters: The Movie,Wip Vernooij,Steve Cleverley Jocelyn Stevenson,Jocelyn Stevenson Giles Healy,"Emma Tate, Tom Clarke Hill, Phillipa Alexander, Keith Wickham",,Mark Edwards,Sanj Sen,"Mind Candy , Spider Eye Productions ",Universal Pictures,81 minutes ," $15,00,000.00 "," $29,00,000.00 "," $14,00,000.00 "
114,By the Sea,Angelina Jolie Pitt,Angelina Jolie Pitt,"Angelina Jolie Pitt, Brad Pitt","Brad Pitt, Angelina Jolie Pitt, Melanie Laurent, Niels Arestrup, Melvil Poupaud, Richard Bohringer",Christian Berger,"Martin Pensa, Patricia Rommel",Gabriel Yared,"Jolie Pas, Plan B Entertainment",Universal Pictures,122 minutes ," $1,00,00,000.00 "," $33,00,000.00 "," $-67,00,000.00 "
71,Man of Tai Chi,Keanu Reeves,Michael G. Cooney,Lemore Syvan,"Keanu Reeves, Tiger Chen, Iko Uwais, Karen Mok, Yu Hai, Ye Qing, Simon Yam",Elliot Davis,Derek Hui,Chan Kwong-wing,"Universal Pictures, Village Roadshow Pictures Asia, China Film Group, Wanda Media","China Film Group Wanda Media  , RADIUS-TWC  , Universal Pictures  ",105 minutes," $2,50,00,000.00 "," $55,00,000.00 "," $-1,95,00,000.00 "
21,Take Me Home Tonight,Michael Dowse,,"Ryan Kavanaugh , Jim Whitaker , Susan Bowen ","Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer",Terry Stacey,Lee Haxall,Trevor Horn,"Imagine Entertainment, Rogue","Relativity Media   , Universal Pictures   ",97 minutes," $1,90,00,000.00 "," $74,00,000.00 "," $-1,16,00,000.00 "
162,Loro,Paolo Sorrentino,Paolo Sorrentino Umberto Contarello,Francesca Cima Nicola Giuliano,Toni Servillo Elena Sofia Ricci Riccardo Scamarcio,Luca Bigazzi,Cristiano Travaglioli,Lele Marchitelli,Indigo Film ,"Focus Features  Universal Pictures   , Path A Distribution  ",204 minutes ," $2,10,00,000.00 "," $76,00,000.00 "," $-1,34,00,000.00 "
6,MacGruber,Jorma Taccone,,"Lorne Michaels, John Goldwyn","Will Forte, Kristen Wiig, Ryan Phillippe, Val Kilmer, Maya Rudolph, Powers Boothe",Brandon Trost,Jamie Gross,Matthew Compton,"Rogue Pictures, Relativity Media, Michaels - Goldwyn",Universal Pictures,91 minutes ," $1,00,00,000.00 "," $93,00,000.00 "," $-7,00,000.00 "
124,Popstar: Never Stop Never Stopping,"Akiva Schaffer, Jorma Taccone","Andy Samberg, Akiva Schaffer, Jorma Taccone","Judd Apatow, Rodney Rothman, Andy Samberg, Akiva Schaffer, Jorma Taccone","Andy Samberg, Jorma Taccone, Akiva Schaffer, Sarah Silverman, Tim Meadows",Brandon Trost,"Jamie Gross, Craig Alpert, Stacey Schroeder",Matthew Compton,"Perfect World Pictures, Apatow Company, The Lonely Island",Universal Pictures,87 minutes ," $2,00,00,000.00 "," $97,00,000.00 "," $-1,03,00,000.00 "
152,Thank You for Your Service,Jason Hall,,Jon Kilik,"Miles Teller, Haley Bennett, Joe Cole, Amy Schumer, Beulah Koale, Scott Haze",Roman Vasyanov,"Jay Cassidy, Dino Jonsäter",Thomas Newman,"DreamWorks Pictures , Reliance Entertainment, Rahway Road Productions","Universal Pictures   ,  Mister Smith Entertainment   ",108 minutes ," $2,00,00,000.00 "," $1,00,00,000.00 "," $-1,00,00,000.00 "
110,The Green Inferno,Eli Roth,,"Eli Roth, Miguel Asensio Llamas, Nicolas Lapez, Christopher Woodrow, Molly Conners","Lorenza Izzo, Ariel Levy, Daryl Sabara, Kirby Bliss Blanton, Sky Ferreira, Magda Apanowicz, Nicolas Martinez, Aaron Burns, Ignacia Allamand, Raman Llao, Richard Burgi",Antonio Quercia,Ernesto Diaz Espinoza,Manuel Riveiro,"Worldview Entertainment, Open Road Films, Dragonfly Entertainment, Sobras International Pictures","High Top Releasing, BH Tilt , Universal Pictures  , Entertainment One   ",100 minutes ," $50,00,000.00 "," $1,29,00,000.00 "," $79,00,000.00 "
176,Welcome to Marwen,Robert Zemeckis,,"Jack Rapke, Steve Starkey, Robert Zemeckis","Steve Carell, Leslie Mann, Diane Kruger, Merritt Wever, Janelle Monae , Eiza  , Gwendoline Christie, Leslie Zemeckis, Siobhan Williams, Neil Jackson",C. Kim Miles,Jeremiah ODriscoll,Alan Silvestri,"Universal Pictures , DreamWorks Pictures , ImageMovers , Perfect World Pictures ",Universal Pictures ,116 minutes," $5,00,00,000.00 "," $1,31,00,000.00 "," $-3,69,00,000.00 "
69,All Is Lost,J. C. Chandor,J. C. Chandor,"Justin Nappi, Teddy Schwarzman, Neal Dodson, Anna Gerb",Robert Redford,Frank G. DeMarco,Pete Beaudreau,Alex Ebert,"Black Bear Pictures , Treehouse Pictures , Before the Door Pictures , Washington Square Films , Sudden Storm Productions ","Lionsgate   Roadside Attractions   , FilmNation Entertainment   ",105 minutes ," $85,00,000.00 "," $1,36,00,000.00 "," $51,00,000.00 "
149,Woody Woodpecker,Alex Zamm,,Mike Elliott,"Eric Bauza, Timothy Omundson, Graham Verchere, Thaila Ayala, Jordana Largy, Scott McNeil, Adrian Glynn McMorran, Emily Holmes",Barry Donlevy,Heath Ryan,Chris Hajian,"Universal Animation Studios, Universal  Entertainment",Universal Pictures,91 minutes," $1,00,00,000.00 "," $1,53,00,000.00 "," $53,00,000.00 "
3,Repo Men,Miguel Sapochnik,Eric Garcia Garrett Lerner,Scott Stuber,Jude Law Forest Whitaker Liev Schreiber Alice Braga Carice van Houten Chandler Canterbury RZA Yvette Nicole Brown,Enrique Chediak,Richard Francis-Bruce,Marco Beltrami,Relativity Media Stuber Pictures,Universal Pictures,119 minutes  ," $3,20,00,000.00 "," $1,84,00,000.00 "," $-1,36,00,000.00 "
195,Black Christmas,Sophia Takal,,"Jason Blum, Ben Cosgrove, Adam Hendricks, Brigitte Berman","Imogen Poots, Aleyse Shannon, Lily Donoghue, Brittany OGrady, Caleb Eberhardt, Cary Elwes",Mark Schwartzbard ,"Jeff Betancourt, Ben Baudhuin","Will Blair, Brooke Blair","Blumhouse Productions, Divide Conquer",Universal Pictures,92 minutes ," $50,00,000.00 "," $1,85,00,000.00 "," $1,35,00,000.00 "
